Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2012,Holyoke,1370000,142,37,26.10%,471,64,13.60%,1420,759,53.50%,148,54,36.50%,2011-12,-,Spring 2012,10,71%,2009-10,7,50%
2013,Holyoke,1370000,144,39,27.10%,450,63,14%,1346,739,54.90%,146,54,37%,2011-12,-,Spring 2012,10,71%,2009-10,7,50%
2012,Hopedale,1380000,24,23,95.80%,55,2,3.60%,185,105,56.80%,29,13,44.80%,NA,NA,Spring 2011,25,86.20%,2012-13,NR,NR
2013,Hopedale,1380000,19,18,94.70%,53,0,0%,200,115,57.50%,20,15,75%,2014-15,-,Spring 2011,25,86.10%,2012-13,10,83.30%
2012,Hopkinton,1390000,47,40,85.10%,117,3,2.60%,422,352,83.40%,40,4,10%,2013-14,50,Spring 2012,58,85%,2011-12,15,75%
2013,Hopkinton,1390000,40,37,92.50%,132,2,1.50%,428,352,82.20%,39,15,38.50%,2013-14,58.3,Spring 2012,58,85%,2011-12,15,75%
2012,Hudson,1410000,48,29,60.40%,111,6,5.40%,457,315,68.90%,76,58,76.30%,2013-14,-,Spring 2012,78,74%,2011-12,14,36.80%
2013,Hudson,1410000,51,33,64.70%,116,6,5.20%,463,327,70.60%,62,40,64.50%,2013-14,85.7,Spring 2012,78,74%,2011-12,14,36.80%
2012,Hull,1420000,18,14,77.80%,46,5,10.90%,153,102,66.70%,22,11,50%,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Hull,1420000,17,14,82.40%,49,1,2%,145,103,71%,23,13,56.50%,2014-15,-,Spring 2011,-,-,2012-13,2,66.70%
2012,Ipswich,1440000,28,25,89.30%,75,1,1.30%,272,168,61.80%,20,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,8,80%
2013,Ipswich,1440000,29,18,62.10%,69,2,2.90%,252,158,62.70%,16,5,31.30%,2012-13,-,Spring 2013,3,27.30%,2010-11,8,80%
2012,Kingston,1450000,1,-,-,NA,NA,NA,146,76,52.10%,17,0,0%,NA,NA,Spring 2012,24,83%,2011-12,NA,NA
2013,Kingston,1450000,4,-,-,0,-,-,156,69,44.20%,10,0,0%,NA,NA,Spring 2012,24,83%,2011-12,NA,NA
2012,Lanesborough,1480000,NA,NA,NA,NA,NA,NA,44,21,47.70%,6,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Lanesborough,1480000,NA,NA,NA,0,-,-,40,20,50%,6,6,100%,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Lawrence,1490000,177,63,35.60%,705,56,7.90%,2471,396,16%,186,87,46.80%,NA,NA,Spring 2011,25,78.10%,2012-13,NR,NR
2013,Lawrence,1490000,232,94,40.50%,743,60,8.10%,2582,433,16.80%,216,129,59.70%,2015-16,-,Spring 2011,25,78.10%,2012-13,10,62.50%
2012,Lee,1500000,14,10,71.40%,30,0,0%,87,56,64.40%,12,0,0%,2011-12,-,Spring 2012,-,-,2009-10,8,72.70%
2013,Lee,1500000,9,6,66.70%,30,0,0%,78,54,69.20%,11,2,18.20%,2011-12,-,Spring 2012,-,-,2009-10,8,72.70%
2012,Leicester,1510000,21,14,66.70%,49,1,2%,244,130,53.30%,28,0,0%,2011-12,-,Spring 2012,-,-,2009-10,13,76.50%
2013,Leicester,1510000,25,16,64%,56,0,0%,264,169,64%,26,16,61.50%,2011-12,-,Spring 2012,-,-,2009-10,13,76.50%
2012,Lenox,1520000,8,5,62.50%,17,0,0%,69,41,59.40%,11,11,100%,2013-14,-,Spring 2012,-,-,2011-12,4,100%
2013,Lenox,1520000,9,6,66.70%,14,0,0%,69,37,53.60%,6,6,100%,2013-14,-,Spring 2012,-,-,2011-12,4,100%
2012,Leominster,1530000,80,60,75%,236,6,2.50%,972,446,45.90%,135,14,10.40%,2011-12,-,Spring 2012,61,79%,2009-10,27,90%
2013,Leominster,1530000,62,44,71%,270,11,4.10%,1003,501,50%,145,27,18.60%,2011-12,-,Spring 2012,61,79%,2009-10,27,90%
2012,Leverett,1540000,NA,NA,NA,NA,NA,NA,29,21,72.40%,5,-,-,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Leverett,1540000,NA,NA,NA,0,-,-,21,15,71.40%,8,0,0%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Lexington,1550000,85,73,85.90%,210,0,0%,863,588,68.10%,73,8,11%,2012-13,-,Spring 2013,NA,NA,2010-11,27,100%
2013,Lexington,1550000,90,72,80%,223,0,0%,868,596,68.70%,71,9,12.70%,2012-13,77.8,Spring 2013,76,72.30%,2010-11,27,100%
2012,Lincoln,1570000,NA,NA,NA,NA,NA,NA,121,107,88.40%,21,0,0%,NA,NA,Spring 2011,13,92.90%,2012-13,NR,NR
2013,Lincoln,1570000,NA,NA,NA,0,-,-,139,126,90.60%,38,24,63.20%,2014-15,-,Spring 2011,13,92.90%,2012-13,NR,NR
2012,Littleton,1580000,25,20,80%,54,0,0%,292,218,74.70%,35,0,0%,2012-13,100,Spring 2013,NA,NA,2009-10,18,94.70%
2013,Littleton,1580000,10,7,70%,48,0,0%,298,227,76.20%,43,4,9.30%,2012-13,90,Spring 2013,30,85.60%,2009-10,18,94.70%
2012,Longmeadow,1590000,60,54,90%,160,1,0.60%,564,414,73.40%,43,2,4.70%,2013-14,-,Spring 2012,10,50%,2011-12,25,100%
2013,Longmeadow,1590000,51,39,76.50%,160,0,0%,507,375,74%,41,3,7.30%,2013-14,75,Spring 2012,10,50%,2011-12,25,100%
2012,Lowell,1600000,105,42,40%,369,31,8.40%,1841,1081,58.70%,307,0,0%,2012-13,80.6,Spring 2013,NA,NA,2010-11,15,78.90%
2013,Lowell,1600000,109,47,43.10%,362,31,8.60%,1894,1119,59.10%,298,147,49.30%,2012-13,82.4,Spring 2013,26,72.10%,2010-11,15,78.90%
2012,Ludlow,1610000,53,35,66%,162,4,2.50%,420,92,21.90%,42,22,52.40%,2011-12,-,Spring 2012,45,80%,2009-10,17,94.40%
2013,Ludlow,1610000,52,33,63.50%,153,5,3.30%,431,153,35.50%,44,32,72.70%,2011-12,-,Spring 2012,45,80%,2009-10,17,94.40%
2012,Lunenburg,1620000,14,11,78.60%,NA,NA,NA,269,207,77%,25,15,60%,2012-13,-,Spring 2013,NA,NA,2010-11,7,100%
2013,Lunenburg,1620000,17,14,82.40%,48,0,0%,260,198,76.20%,35,16,45.70%,2012-13,-,Spring 2013,18,78.30%,2010-11,7,100%
2012,Lynn,1630000,202,106,52.50%,573,48,8.40%,2132,790,37.10%,164,71,43.30%,2011-12,-,Spring 2012,29,55%,2009-10,22,68.80%
2013,Lynn,1630000,225,121,53.80%,623,39,6.30%,2184,930,42.60%,162,79,48.80%,2011-12,-,Spring 2012,29,55%,2009-10,22,68.80%
2012,Lynnfield,1640000,18,15,83.30%,67,1,1.50%,292,225,77.10%,38,1,2.60%,2012-13,-,Spring 2013,NA,NA,2010-11,8,100%
2013,Lynnfield,1640000,21,20,95.20%,70,0,0%,295,221,74.90%,30,5,16.70%,2012-13,-,Spring 2013,-,-,2010-11,8,100%
2012,Malden,1650000,75,35,46.70%,215,0,0%,833,402,48.30%,107,76,71%,2012-13,-,Spring 2013,NA,NA,2010-11,21,95.50%
2013,Malden,1650000,67,36,53.70%,212,0,0%,840,421,50.10%,120,91,75.80%,2012-13,100,Spring 2013,49,83%,2010-11,21,95.50%
2012,Mansfield,1670000,74,62,83.80%,239,5,2.10%,793,458,57.80%,78,36,46.20%,2012-13,81.3,Spring 2013,NA,NA,2010-11,18,100%
2013,Mansfield,1670000,86,67,77.90%,209,0,0%,774,420,54.30%,64,30,46.90%,2012-13,81.3,Spring 2013,61,87.10%,2010-11,18,100%
2012,Marblehead,1680000,51,48,94.10%,171,3,1.80%,502,313,62.40%,45,35,77.80%,2012-13,-,Spring 2013,NA,NA,2010-11,23,88.50%
2013,Marblehead,1680000,58,51,87.90%,190,1,0.50%,548,352,64.20%,27,16,59.30%,2012-13,-,Spring 2013,67,76.10%,2010-11,23,88.50%
2012,Marion,1690000,1,-,-,NA,NA,NA,64,59,92.20%,10,8,80%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Marion,1690000,NA,NA,NA,0,-,-,69,61,88.40%,8,7,87.50%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Marlborough,1700000,62,41,66.10%,203,5,2.50%,830,452,54.50%,139,25,18%,2011-12,-,Spring 2012,-,-,2009-10,35,100%
2013,Marlborough,1700000,78,48,61.50%,191,3,1.60%,828,420,50.70%,113,48,42.50%,2011-12,-,Spring 2012,-,-,2009-10,35,100%
2012,Marshfield,1710000,74,64,86.50%,221,5,2.30%,721,523,72.50%,78,11,14.10%,2012-13,100,Spring 2013,NA,NA,2010-11,8,100%
2013,Marshfield,1710000,66,50,75.80%,219,4,1.80%,679,504,74.20%,58,29,50%,2012-13,100,Spring 2013,60,81.10%,2010-11,8,100%
2012,Mashpee,1720000,28,21,75%,68,4,5.90%,294,204,69.40%,29,3,10.30%,2010-11,70.6,Spring 2011,14,87.50%,2012-13,NR,NR
2013,Mashpee,1720000,28,22,78.60%,61,2,3.30%,275,187,68%,29,12,41.40%,2014-15,-,Spring 2011,14,87.50%,2012-13,7,100%
2012,Mattapoisett,1730000,NA,NA,NA,NA,NA,NA,50,44,88%,10,8,80%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Mattapoisett,1730000,1,-,-,0,-,-,38,32,84.20%,13,11,84.60%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Maynard,1740000,18,12,66.70%,48,0,0%,195,111,56.90%,24,1,4.20%,2011-12,-,Spring 2012,24,96%,2009-10,0,0%
2013,Maynard,1740000,13,7,53.80%,43,1,2.30%,185,110,59.50%,34,22,64.70%,2011-12,-,Spring 2012,24,96%,2009-10,0,0%
2012,Medfield,1750000,22,21,95.50%,NA,NA,NA,305,252,82.60%,38,13,34.20%,2012-13,-,Spring 2013,NA,NA,2010-11,16,100%
2013,Medfield,1750000,29,27,93.10%,96,1,1%,319,262,82.10%,23,14,60.90%,2012-13,-,Spring 2013,18,64.30%,2010-11,16,100%
2012,Medford,1760000,86,55,64%,244,12,4.90%,852,434,50.90%,61,16,26.20%,2013-14,-,Spring 2012,142,84%,2011-12,57,91.90%
2013,Medford,1760000,74,53,71.60%,248,8,3.20%,796,394,49.50%,61,37,60.70%,2013-14,90.5,Spring 2012,142,84%,2011-12,57,91.90%
2012,Medway,1770000,40,36,90%,113,0,0%,415,252,60.70%,18,1,5.60%,2013-14,-,Spring 2012,14,70%,2011-12,9,100%
2013,Medway,1770000,42,38,90.50%,114,0,0%,383,241,62.90%,21,13,61.90%,2013-14,-,Spring 2012,14,70%,2011-12,9,100%
2012,Melrose,1780000,59,52,88.10%,119,0,0%,503,348,69.20%,54,24,44.40%,2012-13,90,Spring 2013,NA,NA,2010-11,28,100%
2013,Melrose,1780000,49,45,91.80%,142,2,1.40%,549,390,71%,60,22,36.70%,2012-13,85.7,Spring 2013,34,69.30%,2010-11,28,100%
2012,Methuen,1810000,67,36,53.70%,197,8,4.10%,947,586,61.90%,125,4,3.20%,NA,NA,Spring 2011,42,79.20%,2012-13,NR,NR
2013,Methuen,1810000,64,32,50%,186,9,4.80%,948,607,64%,120,21,17.50%,2014-15,-,Spring 2011,42,79.20%,2012-13,6,85.70%
2012,Middleborough,1820000,33,25,75.80%,109,5,4.60%,528,386,73.10%,72,7,9.70%,2010-11,89.3,Spring 2011,33,71.70%,2012-13,NR,NR
2013,Middleborough,1820000,38,24,63.20%,130,2,1.50%,543,395,72.70%,47,26,55.30%,2014-15,-,Spring 2011,33,71.60%,2012-13,11,91.70%
2012,Middleton,1840000,NA,NA,NA,NA,NA,NA,122,64,52.50%,16,4,25%,2013-14,-,Spring 2012,21,91%,2011-12,NA,NA
2013,Middleton,1840000,NA,NA,NA,0,-,-,109,52,47.70%,16,7,43.80%,2013-14,-,Spring 2012,21,91%,2011-12,NA,NA
2012,Milford,1850000,46,36,78.30%,155,1,0.60%,615,326,53%,59,0,0%,2013-14,-,Spring 2012,34,90%,2011-12,7,19.40%
2013,Milford,1850000,43,25,58.10%,148,0,0%,612,318,52%,75,31,41.30%,2013-14,88.9,Spring 2012,34,90%,2011-12,7,19.40%
2012,Millbury,1860000,30,21,70%,100,0,0%,299,126,42.10%,39,35,89.70%,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Millbury,1860000,34,25,73.50%,90,0,0%,287,124,43.20%,41,25,61%,2014-15,-,Spring 2011,-,-,2012-13,13,100%
2012,Millis,1870000,11,9,81.80%,36,0,0%,173,139,80.30%,33,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,1,100%
2013,Millis,1870000,17,15,88.20%,43,0,0%,169,131,77.50%,25,4,16%,2012-13,-,Spring 2013,38,86.30%,2010-11,1,100%
2012,Milton,1890000,51,41,80.40%,102,2,2%,571,371,65%,80,0,0%,2013-14,-,Spring 2012,53,90%,2011-12,8,100%
2013,Milton,1890000,39,32,82.10%,93,4,4.30%,528,335,63.40%,56,6,10.70%,2013-14,100,Spring 2012,53,90%,2011-12,8,100%
2012,Monson,1910000,15,9,60%,34,0,0%,167,107,64.10%,20,16,80%,2011-12,-,Spring 2012,8,67%,2009-10,0,0%
2013,Monson,1910000,11,6,54.50%,39,1,2.60%,168,98,58.30%,21,5,23.80%,2011-12,-,Spring 2012,8,67%,2009-10,0,0%
2012,Nahant,1960000,NA,NA,NA,NA,NA,NA,9,8,88.90%,0,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Nahant,1960000,NA,NA,NA,0,-,-,14,9,64.30%,0,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Nantucket,1970000,19,14,73.70%,73,2,2.70%,203,122,60.10%,20,1,5%,2011-12,-,Spring 2012,12,75%,2009-10,7,77.80%
2013,Nantucket,1970000,20,17,85%,72,1,1.40%,196,102,52%,14,0,0%,2011-12,-,Spring 2012,12,75%,2009-10,7,77.80%
2012,Natick,1980000,60,51,85%,181,6,3.30%,657,345,52.50%,61,4,6.60%,2011-12,-,Spring 2012,-,-,2009-10,39,75%
2013,Natick,1980000,74,62,83.80%,206,6,2.90%,683,373,54.60%,82,13,15.90%,2011-12,-,Spring 2012,-,-,2009-10,39,75%
2012,Needham,1990000,84,74,88.10%,199,1,0.50%,727,540,74.30%,32,5,15.60%,NA,NA,Spring 2011,17,89.50%,2012-13,NR,NR
2013,Needham,1990000,65,51,78.50%,202,0,0%,717,539,75.20%,33,7,21.20%,NA,NA,Spring 2011,17,89.50%,2012-13,47,97.90%
2012,New Bedford,2010000,144,46,31.90%,458,45,9.80%,2196,1362,62%,461,10,2.20%,2011-12,-,Spring 2012,-,-,2009-10,5,71.40%
2013,New Bedford,2010000,133,38,28.60%,515,45,8.70%,2366,1409,59.60%,465,158,34%,2011-12,-,Spring 2012,-,-,2009-10,5,71.40%
2012,Newburyport,2040000,27,22,81.50%,90,1,1.10%,310,251,81%,45,17,37.80%,2011-12,-,Spring 2012,-,-,2009-10,0,0%
2013,Newburyport,2040000,27,22,81.50%,93,3,3.20%,311,247,79.40%,41,11,26.80%,2011-12,-,Spring 2012,-,-,2009-10,0,0%
2012,Newton,2070000,241,210,87.10%,738,10,1.40%,2288,1711,74.80%,185,70,37.80%,2010-11,65.5,Spring 2011,114,88.40%,2012-13,NR,NR
2013,Newton,2070000,228,202,88.60%,749,6,0.80%,2261,1697,75.10%,184,68,37%,2014-15,-,Spring 2011,114,88.40%,2012-13,20,100%
2012,Norfolk,2080000,NA,NA,NA,NA,NA,NA,132,108,81.80%,33,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Norfolk,2080000,NA,NA,NA,0,-,-,122,96,78.70%,27,4,14.80%,2012-13,-,Spring 2013,13,92.90%,2010-11,NA,NA
2012,North Adams,2090000,33,22,66.70%,92,10,10.90%,333,218,65.50%,66,2,3%,2012-13,100,Spring 2013,NA,NA,2010-11,16,40%
2013,North Adams,2090000,35,17,48.60%,86,2,2.30%,310,208,67.10%,68,5,7.40%,2012-13,100,Spring 2013,35,89.70%,2010-11,16,40%
2012,Northampton,2100000,57,40,70.20%,132,6,4.50%,524,250,47.70%,46,21,45.70%,2010-11,69.2,Spring 2011,27,77.10%,2012-13,NR,NR
2013,Northampton,2100000,47,33,70.20%,139,4,2.90%,524,264,50.40%,43,20,46.50%,2014-15,-,Spring 2011,27,77.10%,2012-13,29,100%
2012,North Andover,2110000,62,45,72.60%,141,0,0%,602,411,68.30%,66,0,0%,2013-14,-,Spring 2012,-,-,2011-12,6,26.10%
2013,North Andover,2110000,58,49,84.50%,146,2,1.40%,613,429,70%,86,30,34.90%,2013-14,-,Spring 2012,-,-,2011-12,6,26.10%
2012,North Attleborough,2120000,44,36,81.80%,145,3,2.10%,657,393,59.80%,87,61,70.10%,2010-11,91.3,Spring 2011,57,91.90%,2012-13,NR,NR
2013,North Attleborough,2120000,46,36,78.30%,137,1,0.70%,625,384,61.40%,86,63,73.30%,2014-15,-,Spring 2011,57,91.90%,2012-13,12,100%
2012,Northborough,2130000,NA,NA,NA,NA,NA,NA,238,185,77.70%,30,1,3.30%,2013-14,-,Spring 2012,28,80%,2011-12,NA,NA
2012,Reading,2460000,69,64,92.80%,238,1,0.40%,708,440,62.10%,60,7,11.70%,2011-12,-,Spring 2012,60,86%,2009-10,15,93.80%
2013,Northborough,2130000,1,-,-,0,-,-,228,175,76.80%,43,3,7%,2013-14,-,Spring 2012,28,80%,2011-12,NA,NA
2012,Northbridge,2140000,32,21,65.60%,99,4,4%,374,262,70.10%,61,38,62.30%,NA,NA,Spring 2011,20,83.30%,2012-13,NR,NR
2013,Northbridge,2140000,30,22,73.30%,95,3,3.20%,381,278,73%,46,24,52.20%,2014-15,-,Spring 2011,20,83.20%,2012-13,4,40%
2012,North Brookfield,2150000,5,-,-,17,1,5.90%,79,58,73.40%,11,3,27.30%,NA,NA,Spring 2012,-,-,2011-12,5,83.30%
2013,North Brookfield,2150000,6,5,83.30%,13,1,7.70%,71,50,70.40%,15,5,33.30%,2014-15,-,Spring 2012,-,-,2011-12,5,83.30%
2012,North Reading,2170000,35,28,80%,101,6,5.90%,403,284,70.50%,35,30,85.70%,2012-13,-,Spring 2013,NA,NA,2010-11,13,86.70%
2013,North Reading,2170000,32,22,68.80%,105,7,6.70%,420,306,72.90%,33,26,78.80%,2012-13,-,Spring 2013,40,88.90%,2010-11,13,86.70%
2012,Norton,2180000,39,29,74.40%,100,10,10%,477,241,50.50%,43,0,0%,2010-11,55.6,Spring 2011,29,87.90%,2012-13,NR,NR
2013,Norton,2180000,38,21,55.30%,108,6,5.60%,496,304,61.30%,56,16,28.60%,2014-15,-,Spring 2011,29,87.90%,2012-13,8,100%
2012,Norwell,2190000,41,37,90.20%,98,0,0%,309,291,94.20%,33,2,6.10%,2010-11,28.6,Spring 2011,44,88%,2012-13,NR,NR
2013,Norwell,2190000,30,29,96.70%,93,0,0%,302,285,94.40%,33,11,33.30%,2014-15,-,Spring 2011,44,88%,2012-13,12,100%
2012,Norwood,2200000,56,40,71.40%,147,3,2%,509,306,60.10%,61,42,68.90%,2012-13,90.9,Spring 2013,NA,NA,2010-11,7,31.80%
2013,Norwood,2200000,50,36,72%,162,7,4.30%,530,325,61.30%,58,39,67.20%,2012-13,86.7,Spring 2013,76,75.20%,2010-11,7,31.80%
2012,Oak Bluffs,2210000,NA,NA,NA,NA,NA,NA,72,63,87.50%,10,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Oak Bluffs,2210000,NA,NA,NA,0,-,-,72,60,83.30%,12,3,25%,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Orange,2230000,NA,NA,NA,NA,NA,NA,104,81,77.90%,17,1,5.90%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Orange,2230000,NA,NA,NA,0,-,-,97,68,70.10%,21,1,4.80%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Orleans,2240000,NA,NA,NA,NA,NA,NA,46,30,65.20%,6,0,0%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Orleans,2240000,NA,NA,NA,0,-,-,32,21,65.60%,9,0,0%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Oxford,2260000,29,10,34.50%,88,13,14.80%,271,141,52%,38,16,42.10%,2013-14,-,Spring 2012,36,77%,2011-12,3,100%
2013,Oxford,2260000,35,19,54.30%,83,7,8.40%,269,132,49.10%,39,21,53.80%,2013-14,-,Spring 2012,36,77%,2011-12,3,100%
2012,Palmer,2270000,37,19,51.40%,51,4,7.80%,289,112,38.80%,32,9,28.10%,2011-12,-,Spring 2012,-,-,2009-10,1,100%
2013,Palmer,2270000,24,11,45.80%,43,3,7%,273,111,40.70%,17,9,52.90%,2011-12,-,Spring 2012,-,-,2009-10,1,100%
2013,Reading,2460000,74,64,86.50%,254,4,1.60%,709,460,64.90%,82,27,32.90%,2011-12,-,Spring 2012,60,86%,2009-10,15,93.80%
2012,Peabody,2290000,107,62,57.90%,334,22,6.60%,1120,703,62.80%,91,24,26.40%,NA,NA,Spring 2011,38,61.30%,2012-13,NR,NR
2013,Peabody,2290000,121,70,57.90%,347,21,6.10%,1089,665,61.10%,90,47,52.20%,2014-15,-,Spring 2011,38,61.20%,2012-13,25,96.20%
2012,Pelham,2300000,NA,NA,NA,NA,NA,NA,23,21,91.30%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2013,Pelham,2300000,NA,NA,NA,0,-,-,26,19,73.10%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2012,Pembroke,2310000,33,28,84.80%,122,0,0%,383,286,74.70%,30,7,23.30%,2012-13,100,Spring 2013,NA,NA,2010-11,12,100%
2013,Pembroke,2310000,35,33,94.30%,119,1,0.80%,357,255,71.40%,35,15,42.90%,2012-13,100,Spring 2013,25,78.10%,2010-11,12,100%
2012,Petersham,2340000,NA,NA,NA,NA,NA,NA,14,11,78.60%,1,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Petersham,2340000,NA,NA,NA,0,-,-,16,11,68.80%,1,-,-,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Pittsfield,2360000,115,72,62.60%,348,22,6.30%,906,546,60.30%,135,3,2.20%,2013-14,-,Spring 2012,63,83%,2011-12,61,100%
2013,Pittsfield,2360000,115,67,58.30%,386,27,7%,972,584,60.10%,124,7,5.60%,2013-14,100,Spring 2012,63,83%,2011-12,61,100%
2012,Plainville,2380000,NA,NA,NA,NA,NA,NA,94,61,64.90%,22,20,90.90%,2010-11,84.6,Spring 2011,12,85.70%,2012-13,NR,NR
2013,Plainville,2380000,NA,NA,NA,0,-,-,96,58,60.40%,25,24,96%,2014-15,-,Spring 2011,12,85.60%,2012-13,NR,NR
2012,Plymouth,2390000,132,95,72%,434,15,3.50%,1466,976,66.60%,158,26,16.50%,NA,NA,Spring 2011,63,81.80%,2012-13,NR,NR
2013,Plymouth,2390000,137,99,72.30%,414,0,0%,1407,896,63.70%,154,66,42.90%,2014-15,-,Spring 2011,63,81.70%,2012-13,20,90.90%
2012,Plympton,2400000,NA,NA,NA,NA,NA,NA,29,27,93.10%,4,-,-,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2013,Plympton,2400000,2,-,-,0,-,-,30,27,90%,7,0,0%,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2012,Provincetown,2420000,2,-,-,2,-,-,13,12,92.30%,1,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,4,100%
2013,Provincetown,2420000,1,-,-,0,-,-,16,14,87.50%,2,-,-,2012-13,-,Spring 2013,-,-,2010-11,4,100%
2012,Quincy,2430000,140,104,74.30%,386,19,4.90%,1285,583,45.40%,165,51,30.90%,2010-11,100,Spring 2011,51,81%,2012-13,NR,NR
2013,Quincy,2430000,121,83,68.60%,378,13,3.40%,1298,569,43.80%,166,55,33.10%,2014-15,-,Spring 2011,51,81%,2012-13,70,93.30%
2012,Randolph,2440000,56,24,42.90%,126,8,6.30%,545,345,63.30%,95,4,4.20%,2013-14,-,Spring 2012,-,-,2011-12,8,72.70%
2013,Randolph,2440000,36,24,66.70%,132,9,6.80%,569,372,65.40%,82,10,12.20%,2013-14,-,Spring 2012,-,-,2011-12,8,72.70%
2012,Revere,2480000,76,48,63.20%,206,26,12.60%,946,450,47.60%,127,1,0.80%,2011-12,-,Spring 2012,61,88%,2009-10,9,81.80%
2013,Revere,2480000,81,47,58%,195,8,4.10%,929,469,50.50%,136,31,22.80%,2011-12,-,Spring 2012,61,88%,2009-10,9,81.80%
2012,Richmond,2490000,NA,NA,NA,NA,NA,NA,13,7,53.80%,0,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Richmond,2490000,NA,NA,NA,0,-,-,14,5,35.70%,3,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Rochester,2500000,1,-,-,NA,NA,NA,71,66,93%,13,2,15.40%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Rochester,2500000,NA,NA,NA,0,-,-,68,65,95.60%,11,4,36.40%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Rockland,2510000,28,18,64.30%,58,4,6.90%,330,163,49.40%,40,0,0%,2010-11,47.4,Spring 2011,14,87.50%,2012-13,NR,NR
2013,Rockland,2510000,23,12,52.20%,55,2,3.60%,317,144,45.40%,38,3,7.90%,2014-15,-,Spring 2011,14,87.50%,2012-13,6,85.70%
2012,Rockport,2520000,25,21,84%,56,2,3.60%,157,122,77.70%,17,4,23.50%,2011-12,-,Spring 2012,-,-,2009-10,9,100%
2013,Rockport,2520000,25,19,76%,44,3,6.80%,157,125,79.60%,12,5,41.70%,2011-12,-,Spring 2012,-,-,2009-10,9,100%
2012,Rowe,2530000,NA,NA,NA,NA,NA,NA,9,7,77.80%,1,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Rowe,2530000,NA,NA,NA,0,-,-,9,7,77.80%,1,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Salem,2580000,80,50,62.50%,304,13,4.30%,992,564,56.90%,89,5,5.60%,2012-13,83.3,Spring 2013,NA,NA,2010-11,8,80%
2013,Salem,2580000,104,80,76.90%,287,7,2.40%,919,529,57.60%,80,18,22.50%,2012-13,84.2,Spring 2013,18,94.60%,2010-11,8,80%
2012,Sandwich,2610000,58,50,86.20%,182,7,3.80%,473,344,72.70%,21,2,9.50%,2011-12,-,Spring 2012,52,77%,2009-10,14,100%
2013,Sandwich,2610000,65,49,75.40%,131,3,2.30%,409,292,71.40%,28,7,25%,2011-12,-,Spring 2012,52,77%,2009-10,14,100%
2012,Saugus,2620000,27,14,51.90%,74,6,8.10%,325,195,60%,78,29,37.20%,2012-13,-,Spring 2013,NA,NA,2010-11,7,100%
2013,Saugus,2620000,29,20,69%,75,2,2.70%,340,226,66.50%,80,32,40%,2012-13,-,Spring 2013,20,71.30%,2010-11,7,100%
